475087,41,44,20,1,
475113,40,36,20,1,
475121,1,0,20,1,
475128,37,40,20,1,
475132,13,16,20,1,
475133,7,10,20,1,
475148,25,23,20,1,
475156,34,31,20,1,
475159,23,26,20,1,
475164,37,39,20,1,
475215,23,24,20,1,
475283,19,22,20,1,
475329,13,14,20,1,
475251,7,3,20,1,
475174,25,27,20,1,
475203,4,0,20,1,
475237,41,42,20,1,
475256,17,18,20,1,
475267,20,18,20,1,
475269,28,31,20,1,
475233,10,12,20,1,
475220,20,16,20,1,
475205,20,23,20,1,
475218,17,15,20,1,
475231,32,34,20,1,
475253,28,29,20,1,
475351,31,33,20,1,
